"model","med","lo","hi","cases"
"M0  Naive pooled hospital data",0.0519132625937361,0.0388496222522475,0.0690541029298366,492.137729388618
"M1  Hierarchical, no tilt, no regional prior",0.0472872321339669,0.030266213210047,0.0662445772983925,448.282960630006
"M2  + regional registry prior",0.0370893071836572,0.0266864844929948,0.052332080642183,351.60663210107
"M3  + referral-tilt correction (full)",0.0202237970969103,0.011454132568287,0.0330993654661087,191.72159647871
