"mu_delta","or","med","lo","hi","cases"
0,1,0.0322463688066601,0.0188122326673096,0.0531638841138304,305.695576287138
0.4,1.49182469764127,0.0244814273775403,0.0151731630039098,0.0390873620136205,232.083931539082
0.74,2.09593551449436,0.0213940279694846,0.0126688071728245,0.0314469305546806,202.815385150714
1.1,3.00416602394643,0.0158531467058826,0.00957204250174161,0.0254519082528313,150.287830771767
1.4,4.05519996684467,0.0133185085448481,0.00836698125283312,0.0213109632875776,126.25946100516
